コンデションID,コンディション名称,項目順序,コンディション項目ID,コンディション値,コンディションラベル,登録担当者,登録日付,更新担当者,更新時間
"COD_OB_SIHA_ZYOUKEN_KBN01","覚書支払条件区分01","2","HATARI","1","本当り","fsol07","2011/02/17 13:10:07","fsol07","2011/02/17 13:10:07"
"COD_OB_SIHA_ZYOUKEN_KBN01","覚書支払条件区分01","3","TEIRITU","2","販売金額の","fsol07","2011/02/17 13:10:07","fsol07","2011/02/17 13:10:07"
"COD_OB_SIHA_ZYOUKEN_KBN01","覚書支払条件区分01","4","TEIGAKU","3","定額","fsol07","2011/02/17 13:10:07","fsol07","2011/02/17 13:10:07"
"COD_OB_SIHA_ZYOUKEN_KBN01","覚書支払条件区分01","5","ZIPPI","4","実費","fsol07","2011/02/17 13:10:07","fsol07","2011/02/17 13:10:07"
"COD_OB_SIHA_ZYOUKEN_KBN01","覚書支払条件区分01","6","ETC","5","その他","fsol07","2011/02/17 13:10:07","fsol07","2011/02/17 13:10:07"
"COD_OB_SIHA_ZYOUKEN_KBN01","覚書支払条件区分01","7","SURYOU_KEISIKI","6","数量−形式","fsol07","2011/02/17 13:10:07","fsol07","2011/02/17 13:10:07"
"COD_OB_SYOSIKI_KBN01","覚書書式区分01","1","ZISYA","0","自社","fsol07","2011/02/17 11:33:11","fsol07","2011/02/17 11:33:11"
"COD_OB_SYOSIKI_KBN01","覚書書式区分01","2","AITEKATA","1","相手方","fsol07","2011/02/17 11:33:11","fsol07","2011/02/17 11:33:11"
"COD_OB_TOUROKU_SAKI_KBN01","覚書登録先区分01","1","NASI","0","なし","fsol07","2011/02/17 11:32:07","fsol07","2011/02/17 11:32:07"
"COD_OB_TOUROKU_SAKI_KBN01","覚書登録先区分01","2","KOUIKI_KIGYOU_GRP","1","広域企業グループ","fsol07","2011/02/17 11:32:07","fsol07","2011/02/17 11:32:07"
"COD_OB_TOUROKU_SAKI_KBN01","覚書登録先区分01","3","KOUIKI_KIGYOU_SUB_GRP","2","広域企業サブグループ","fsol07","2011/02/17 11:32:07","fsol07","2011/02/17 11:32:07"
"COD_OB_TOUROKU_SAKI_KBN01","覚書登録先区分01","4","KOUIKI_KIGYOU","3","広域企業","fsol07","2011/02/17 11:32:07","fsol07","2011/02/17 11:32:07"
"COD_OB_TOUROKU_SAKI_KBN01","覚書登録先区分01","5","TOK","4","得意先","fsol07","2011/02/17 11:32:07","fsol07","2011/02/17 11:32:07"
"COD_OROSI_MATTAN01","卸末端条件01","1","MUSYO","01","無償","fsol05","2009/03/23 20:12:58","fsol14","2009/12/02 14:56:35"
"COD_OROSI_MATTAN01","卸末端条件01","2","SANKUSU","02","サンクス","fsol05","2009/03/23 20:12:58","fsol14","2009/12/02 14:56:35"
"COD_OUT_KBN01","出力区分01","1","OUT_SINAI","0","出力しない","lpa01","2008/08/18 20:43:51","fsol14","2009/12/02 14:56:45"
"COD_OUT_KBN01","出力区分01","2","OUT_SURU","1","出力する","lpa01","2008/08/18 20:43:51","fsol14","2009/12/02 14:56:45"
"COD_OUT_KBN02","出力区分02","1","TANTOSYABETU_SYUKEI","1","得意先担当者別集計","fsol05","2009/03/23 20:12:58","fsol14","2009/12/02 14:56:56"
"COD_OUT_KBN02","出力区分02","2","MEISAI","2","明細","fsol05","2009/03/23 20:12:58","fsol14","2009/12/02 14:56:56"
"COD_OUT_SORT_KBN01","出力順番区分01","1","SYORI_BI_SORT","0","処理日順","fsol10","2011/01/06 22:40:34","fsol10","2011/01/13 16:48:13"
"COD_OUT_SORT_KBN01","出力順番区分01","2","DENPYOU_BI_SORT","1","伝票日順","fsol10","2011/01/06 22:40:34","fsol10","2011/01/13 16:48:13"
"COD_OUT_STS_KBN01","出力状態区分01","1","MI_OUT","0","未出力","sis05","2008/07/01 13:28:36","fsol14","2009/12/02 14:57:05"
"COD_OUT_STS_KBN01","出力状態区分01","2","OUT_SUMI","1","出力済","sis05","2008/07/01 13:28:36","fsol14","2009/12/02 14:57:05"
"COD_OUT_ZYOUKEN_KBN01","出力条件区分01","1","GENZAI","1","現在","fsol05","2009/03/23 20:12:58","fsol14","2009/12/02 14:57:13"
"COD_OUT_ZYOUKEN_KBN01","出力条件区分01","2","SENGETU","2","先月","fsol05","2009/03/23 20:12:58","fsol14","2009/12/02 14:57:13"
"COD_OUT_ZYOUKEN_KBN02","出力条件区分02","1","SYAIN_SITEI","0","社員指定","fsol10","2011/01/06 22:40:34","fsol10","2011/01/06 22:40:34"
"COD_OUT_ZYOUKEN_KBN02","出力条件区分02","2","ZYUSYO_SITEI","1","住所指定","fsol10","2011/01/06 22:40:34","fsol10","2011/01/06 22:40:34"
"COD_OYAKO_CALC_HOU_KBN01","親子計算方法区分01","1","TANDOKU","0","単独","lpa01","2008/08/18 20:30:36","fsol14","2009/12/02 14:57:24"
"COD_OYAKO_CALC_HOU_KBN01","親子計算方法区分01","2","ANBUN","1","按分","lpa01","2008/08/18 20:30:36","fsol14","2009/12/02 14:57:24"
"COD_OYAKO_CALC_HOU_KBN01","親子計算方法区分01","3","TUMIAGE","2","積上","lpa01","2008/08/18 20:30:36","fsol14","2009/12/02 14:57:24"
"COD_PRT_TEHAI_KBN01","印刷手配区分01","1","SETTI","1","設置","fsol05","2009/03/23 20:12:58","fsol14","2009/12/02 14:57:37"
"COD_PRT_TEHAI_KBN01","印刷手配区分01","2","SYURI","2","修理","fsol05","2009/03/23 20:12:58","fsol14","2009/12/02 14:57:37"
"COD_PRT_TEHAI_KBN01","印刷手配区分01","3","SEIBI","3","整備","fsol05","2009/03/23 20:12:58","fsol14","2009/12/02 14:57:37"
"COD_RENKEI_SYORI_KBN01","連携処理区分01","1","MISYORI","0","未処理","lpa00","2008/07/11 16:13:39","fsol14","2009/12/02 14:57:46"
"COD_RENKEI_SYORI_KBN01","連携処理区分01","2","RENKEISUMI","1","連携済","lpa00","2008/07/11 16:13:39","fsol14","2009/12/02 14:57:46"
"COD_RENKEI_SYORI_KBN01","連携処理区分01","3","TEISISUMI","2","停止済","lpa00","2008/07/11 16:13:39","fsol14","2009/12/02 14:57:46"
"COD_RYOHI_SYUBETU01","旅費種別01","1","KARIBARAI","0","仮払","fsol07","2011/01/26 14:22:19","fsol07","2011/01/26 14:22:19"
"COD_RYOHI_SYUBETU01","旅費種別01","2","MODOSIIRE","1","戻入","fsol07","2011/01/26 14:22:19","fsol07","2011/01/26 14:22:19"
"COD_SEIBI_NAIYOU_KBN01","整備内容区分01","1","ZYUSEIBI","0","重整備","fsol05","2009/06/12 18:03:12","fsol14","2009/12/02 14:57:59"
"COD_SEIBI_NAIYOU_KBN01","整備内容区分01","2","TYUSEIBI","1","中整備","fsol05","2009/06/12 18:03:12","fsol14","2009/12/02 14:57:59"
"COD_SEIBI_NAIYOU_KBN01","整備内容区分01","3","KEISEIBI","2","軽整備","fsol05","2009/06/12 18:03:12","fsol14","2009/12/02 14:57:59"
"COD_SEIBI_NAIYOU_KBN01","整備内容区分01","4","SONOTA","3","その他","fsol05","2009/06/12 18:03:12","fsol14","2009/12/02 14:57:59"
"COD_SEIBI_ZYOUKYOU_KBN01","整備状況区分01","1","TOZITU","1","当日受付分＋未受付","fsol05","2009/04/15 17:47:06","fsol14","2009/12/02 14:59:05"
"COD_SEIBI_ZYOUKYOU_KBN01","整備状況区分01","2","MIUKETUKE","2","未受付","fsol05","2009/04/15 17:47:06","fsol14","2009/12/02 14:59:05"
"COD_SEIBI_ZYOUKYOU_KBN01","整備状況区分01","3","UKETUKEZUMI","3","受付済","fsol05","2009/04/15 17:47:06","fsol14","2009/12/02 14:59:05"
"COD_SEIBI_ZYOUKYOU_KBN01","整備状況区分01","4","MIKANRYOU","4","整備未完了","fsol05","2009/04/15 17:47:06","fsol14","2009/12/02 14:59:05"
"COD_SEIBI_ZYOUKYOU_KBN01","整備状況区分01","5","KANRYOU","5","整備完了","fsol05","2009/04/15 17:47:06","fsol14","2009/12/02 14:59:05"
"COD_SEIBI_ZYOUKYOU_KBN01","整備状況区分01","6","KAKUNINMATI","6","整備完了（完了確認待）","fsol05","2009/04/15 17:47:06","fsol14","2009/12/02 14:59:05"
"COD_SEIBI_ZYOUKYOU_KBN01","整備状況区分01","7","KAKUNINZUMI","7","整備完了（完了確認済）","fsol05","2009/04/15 17:47:06","fsol14","2009/12/02 14:59:05"
"COD_SEIBI_ZYOUKYOU_KBN02","整備状況区分02","1","MIUKETUKE","1","未受付","fsol05","2009/04/15 17:47:06","fsol14","2009/12/02 14:59:29"
"COD_SEIBI_ZYOUKYOU_KBN02","整備状況区分02","2","MIKANRYOU","2","整備未完了","fsol05","2009/04/15 17:47:06","fsol14","2009/12/02 14:59:29"
"COD_SEIBI_ZYOUKYOU_KBN02","整備状況区分02","3","KANRYOU","3","整備完了","fsol05","2009/04/15 17:47:06","fsol14","2009/12/02 14:59:29"
"COD_SEIBI_ZYOUKYOU_KBN02","整備状況区分02","4","KAKUNINMATI","4","整備完了（完了確認待）","fsol05","2009/04/15 17:47:06","fsol14","2009/12/02 14:59:29"
"COD_SEIKYU_HAKKOU_KBN01","請求書発行区分01","1","HISOUHU","0","非送付","lpa00","2008/07/08 11:25:26","fsol14","2009/12/02 14:59:59"
"COD_SEIKYU_HAKKOU_KBN01","請求書発行区分01","2","SINTEN","1","親展","lpa00","2008/07/08 11:25:26","fsol14","2009/12/02 14:59:59"
"COD_SEIKYU_HAKKOU_KBN01","請求書発行区分01","3","TANMAZU","2","端末","lpa00","2008/07/08 11:25:26","fsol14","2009/12/02 14:59:59"
"COD_SEIKYU_HAKKOU_KBN02","請求書発行区分02","1","ALLVALUE","ALLVALUE","全て","fsol10","2011/01/06 22:40:34","fsol10","2011/01/06 22:40:34"
"COD_SEIKYU_HAKKOU_KBN02","請求書発行区分02","2","TANMATU","1","端末","fsol10","2011/01/06 22:40:34","fsol10","2011/01/06 22:40:34"
"COD_SEIKYU_HAKKOU_KBN02","請求書発行区分02","3","NASI","0","なし","fsol10","2011/01/06 22:40:34","fsol10","2011/01/06 22:40:34"
"COD_SEIKYU_HAKKOU_KBN03","請求書発行区分03","1","NASI","0","なし","fsol10","2011/01/06 22:40:34","fsol10","2011/01/06 22:40:34"
"COD_SEIKYU_HAKKOU_KBN03","請求書発行区分03","2","TANMATU","1","端末","fsol10","2011/01/06 22:40:34","fsol10","2011/01/06 22:40:34"
"COD_SEIKYU_KAKUTEI_KBN01","請求確定区分01","1","MIKAKUNIN","0","未確認","fsol20","2009/02/09 11:04:06","fsol14","2009/12/02 15:00:08"
"COD_SEIKYU_KAKUTEI_KBN01","請求確定区分01","2","KAKUNINTYU","1","確認中","fsol20","2009/02/09 11:04:06","fsol14","2009/12/02 15:00:08"
"COD_SEIKYU_KAKUTEI_KBN01","請求確定区分01","3","KAKUTEI","2","確定","fsol20","2009/02/09 11:04:06","fsol14","2009/12/02 15:00:08"
"COD_SEIKYU_KAKUTEI_KBN02","請求確定区分02","1","MIKAKUNIN","0","未確認","fsol20","2009/03/24 16:44:05","fsol14","2009/12/02 15:00:17"
"COD_SEIKYU_KAKUTEI_KBN02","請求確定区分02","2","KAKUNINTYU","1","確認中","fsol20","2009/03/24 16:44:05","fsol14","2009/12/02 15:00:17"
"COD_SEIKYU_SIHA_KBN01","請求支払区分01","1","SEIKYU","0","請求","lpa01","2008/05/01 19:06:59","fsol14","2009/12/02 15:00:26"
"COD_SEIKYU_SIHA_KBN01","請求支払区分01","2","SIHARAI","1","支払","lpa01","2008/05/01 19:06:59","fsol14","2009/12/02 15:00:26"
"COD_SEIKYU_SIHA_KBN01","請求支払区分01","3","SEIKYU_SIHARAI","2","請求支払","lpa01","2008/05/01 19:06:59","fsol14","2009/12/02 15:00:26"
"COD_SEIKYUSYO_KBN01","請求書区分01","1","SINPIN_HONTAI_SETTI","01","新品本体/設置","fsol05","2009/03/23 20:12:58","fsol14","2009/12/02 15:00:36"
"COD_SEIKYUSYO_KBN01","請求書区分01","2","SETTI_HIKIAGE","02","設置・引上","fsol05","2009/03/23 20:12:58","fsol14","2009/12/02 15:00:36"
"COD_SEIKYUSYO_KBN01","請求書区分01","3","DENKI_KOZI","05","電気工事","fsol05","2009/03/23 20:12:58","fsol14","2009/12/02 15:00:36"
"COD_SEIKYUSYO_KBN01","請求書区分01","4","HUTAI_KOZI","03","付帯工事","fsol05","2009/03/23 20:12:58","fsol14","2009/12/02 15:00:36"
"COD_SEIKYUSYO_KBN01","請求書区分01","5","TOKUBETU_KOZI","04","特別工事","fsol05","2009/03/23 20:12:58","fsol14","2009/12/02 15:00:36"
"COD_SEIKYUSYO_KBN01","請求書区分01","6","IPPAN","30","一般修理","fsol05","2009/03/23 20:12:58","fsol14","2009/12/02 15:00:36"
"COD_SEIKYUSYO_KBN01","請求書区分01","7","HOKEN","31","保険修理","fsol05","2009/03/23 20:12:58","fsol14","2009/12/02 15:00:36"
"COD_SEIKYUSYO_KBN01","請求書区分01","8","KAGAISYA","33","加害者負担修理","fsol05","2009/03/23 20:12:58","fsol14","2009/12/02 15:00:36"
"COD_SEIKYUSYO_KBN02","請求書区分02","1","SINPIN_HONTAI_SETTI","01","新品本体/設置","fsol05","2009/03/23 20:12:58","fsol14","2009/12/02 15:00:45"
"COD_SEIKYUSYO_KBN02","請求書区分02","2","SETTI_HIKIAGE","02","設置・引上","fsol05","2009/03/23 20:12:58","fsol14","2009/12/02 15:00:45"
"COD_SEIKYUSYO_KBN02","請求書区分02","3","DENKI_KOZI","05","電気工事","fsol05","2009/03/23 20:12:58","fsol14","2009/12/02 15:00:45"
"COD_SEIKYUSYO_KBN02","請求書区分02","4","HUTAI_KOZI","03","付帯工事","fsol05","2009/03/23 20:12:58","fsol14","2009/12/02 15:00:45"
"COD_SEIKYUSYO_KBN02","請求書区分02","5","TOKUBETU_KOZI","04","特別工事","fsol05","2009/03/23 20:12:58","fsol14","2009/12/02 15:00:45"
"COD_SEIKYUSYO_KBN02","請求書区分02","6","IPPAN","30","一般修理","fsol05","2009/03/23 20:12:58","fsol14","2009/12/02 15:00:45"
"COD_SEIKYUSYO_KBN02","請求書区分02","7","HOKEN","31","保険修理","fsol05","2009/03/23 20:12:58","fsol14","2009/12/02 15:00:45"
"COD_SEIKYUSYO_KBN02","請求書区分02","8","KAGAISYA","33","加害者負担修理","fsol05","2009/03/23 20:12:58","fsol14","2009/12/02 15:00:45"
"COD_SEIKYUSYO_KBN02","請求書区分02","9","SEIBI","20","整備","fsol05","2009/03/23 20:12:58","fsol14","2009/12/02 15:00:45"
"COD_SEIKYUSYO_KBN02","請求書区分02","10","HAIKI","70","廃棄","fsol05","2009/03/23 20:12:58","fsol14","2009/12/02 15:00:45"
"COD_SETTI_HIKIAGE_KBN01","設置引上区分01","1","SETTI","0","設置","fsol05","2009/03/23 20:12:58","fsol14","2009/12/02 15:00:54"
"COD_SETTI_HIKIAGE_KBN01","設置引上区分01","2","HIKIAGE","1","引上","fsol05","2009/03/23 20:12:58","fsol14","2009/12/02 15:00:54"
"COD_SETTI_KBN01","設置区分01","1","ALL","0","全て","fsol05","2009/03/23 20:12:58","fsol14","2009/12/02 15:01:02"
"COD_SETTI_KBN01","設置区分01","2","SETTI","1","設置","fsol05","2009/03/23 20:12:58","fsol14","2009/12/02 15:01:02"
"COD_SETTI_KBN01","設置区分01","3","ZAIKO","2","在庫","fsol05","2009/03/23 20:12:58","fsol14","2009/12/02 15:01:02"
"COD_SETTI_KBN02","設置区分02","1","TOK_HENKOU_SINKI","13","得意先変更（新規）","fsol05","2009/03/23 20:12:58","fsol14","2009/12/02 15:01:09"
"COD_SETTI_KBN02","設置区分02","2","TOK_HENKOU_KIZON","14","得意先変更（既存）","fsol05","2009/03/23 20:12:58","fsol14","2009/12/02 15:01:09"
"COD_SETTI_KBN03","設置区分03","1","SINSETU","01","新設","fsol05","2009/03/23 20:12:58","fsol14","2009/12/02 15:01:18"
"COD_SETTI_KBN03","設置区分03","2","KOUSIN","02","更新","fsol05","2009/03/23 20:12:58","fsol14","2009/12/02 15:01:18"
"COD_SETTI_KBN03","設置区分03","3","ZOUSETU","03","増設","fsol05","2009/03/23 20:12:58","fsol14","2009/12/02 15:01:18"
"COD_SETTI_KBN03","設置区分03","4","HEISETU","04","併設","fsol05","2009/03/23 20:12:58","fsol14","2009/12/02 15:01:18"
"COD_SETTI_KBN03","設置区分03","5","TANDOKU_ISETU","06","単独移設","fsol05","2009/03/23 20:12:58","fsol14","2009/12/02 15:01:18"
"COD_SETTI_KBN04","設置区分04","1","LOCATION_HENKOU_SINKI","15","ロケ変更（新規）","fsol05","2009/03/23 20:12:58","fsol14","2009/12/02 15:01:26"
"COD_SETTI_KBN04","設置区分04","2","LOCATION_HENKOU_KIZON","16","ロケ変更（既存）","fsol05","2009/03/23 20:12:58","fsol14","2009/12/02 15:01:26"
"COD_SETTI_KBN05","設置区分05","1","SINSETU","01","新設","fsol05","2009/03/23 20:12:58","fsol14","2009/12/02 15:10:53"
"COD_SETTI_KBN05","設置区分05","2","KOUSIN","02","更新","fsol05","2009/03/23 20:12:58","fsol14","2009/12/02 15:10:53"
"COD_SETTI_KBN05","設置区分05","3","TANDOKU_HIKIAGE","05","単独引上","fsol05","2009/03/23 20:12:58","fsol14","2009/12/02 15:10:53"
"COD_SETTI_KBN05","設置区分05","4","TANDOKU_ISETU","06","単独移設","fsol05","2009/03/23 20:12:58","fsol14","2009/12/02 15:10:53"
"COD_SETTI_KBN06","設置区分06","1","SINSETU","01","新設","fsol05","2009/03/23 20:12:58","fsol14","2009/12/02 15:11:01"
"COD_SETTI_KBN06","設置区分06","2","KOUSIN","02","更新","fsol05","2009/03/23 20:12:58","fsol14","2009/12/02 15:11:01"
"COD_SETTI_KBN06","設置区分06","3","ZOUSETU","03","増設","fsol05","2009/03/23 20:12:58","fsol14","2009/12/02 15:11:01"
"COD_SETTI_KBN06","設置区分06","4","HEISETU","04","併設","fsol05","2009/03/23 20:12:58","fsol14","2009/12/02 15:11:01"
"COD_SETTI_KBN06","設置区分06","5","TANDOKU_ISETU","06","単独移設","fsol05","2009/03/23 20:12:58","fsol14","2009/12/02 15:11:01"
"COD_SETTI_KBN06","設置区分06","6","ZYUKI_TOUROKU","10","什器登録","fsol05","2009/03/23 20:12:58","fsol14","2009/12/02 15:11:01"
"COD_SETTI_KBN06","設置区分06","7","TOK_HENKOU_SINKI","13","得意先変更（新規）","fsol05","2009/03/23 20:12:58","fsol14","2009/12/02 15:11:01"
"COD_SETTI_KBN06","設置区分06","8","TOK_HENKOU_KIZON","14","得意先変更（既存）","fsol05","2009/03/23 20:12:58","fsol14","2009/12/02 15:11:01"
"COD_SETTI_KBN06","設置区分06","9","LOCATION_HENKOU_SINKI","15","ロケ変更（新規）","fsol05","2009/03/23 20:12:58","fsol14","2009/12/02 15:11:01"
"COD_SETTI_KBN06","設置区分06","10","LOCATION_HENKOU_KIZON","16","ロケ変更（既存）","fsol05","2009/03/23 20:12:58","fsol14","2009/12/02 15:11:01"
"COD_SETTI_KBN07","設置区分07","1","SINSETU","01","新設","fsol05","2009/03/23 20:12:58","fsol14","2009/12/02 15:11:49"
"COD_SETTI_KBN07","設置区分07","2","KOUSIN","02","更新","fsol05","2009/03/23 20:12:58","fsol14","2009/12/02 15:11:49"
"COD_SETTI_KBN07","設置区分07","3","TANDOKU_HIKIAGE","05","単独引上","fsol05","2009/03/23 20:12:58","fsol14","2009/12/02 15:11:49"
"COD_SETTI_KBN07","設置区分07","4","TANDOKU_ISETU","06","単独移設","fsol05","2009/03/23 20:12:58","fsol14","2009/12/02 15:11:49"
"COD_SETTI_KBN08","設置区分08","1","SINSETU","01","新設","fsol05","2009/03/23 20:12:58","fsol14","2009/12/02 15:12:29"
"COD_SETTI_KBN08","設置区分08","2","KOUSIN","02","更新","fsol05","2009/03/23 20:12:58","fsol14","2009/12/02 15:12:29"
"COD_SETTI_KBN09","設置区分09","1","SINSETU","01","新設","fsol05","2009/04/15 17:47:06","fsol14","2009/12/02 15:12:39"
"COD_SETTI_KBN09","設置区分09","2","KOUSIN","02","更新","fsol05","2009/04/15 17:47:06","fsol14","2009/12/02 15:12:39"
"COD_SETTI_KBN09","設置区分09","3","TANDOKU_ISETU","06","単独移設","fsol05","2009/04/15 17:47:06","fsol14","2009/12/02 15:12:39"
"COD_SETTI_TEHAI_KBN01","設置手配区分01","1","SINPIN_SETTI","100","新品設置","fsol05","2009/03/23 20:12:58","fsol14","2009/12/02 14:01:12"
"COD_SETTI_TEHAI_KBN01","設置手配区分01","2","SINPIN_SETTI_HIKIAGE","110","新品設置・引上","fsol05","2009/03/23 20:12:58","fsol14","2009/12/02 14:01:12"
"COD_SETTI_TEHAI_KBN01","設置手配区分01","3","TYUKO_SETTI","200","中古設置","fsol05","2009/03/23 20:12:58","fsol14","2009/12/02 14:01:12"
"COD_SETTI_TEHAI_KBN01","設置手配区分01","4","TYUKO_SETTI_HIKIAGE","210","中古設置・引上","fsol05","2009/03/23 20:12:58","fsol14","2009/12/02 14:01:12"
"COD_SETTI_TEHAI_KBN01","設置手配区分01","5","ISETU","220","移設","fsol05","2009/03/23 20:12:58","fsol14","2009/12/02 14:01:12"
"COD_SETTI_TEHAI_KBN01","設置手配区分01","6","TENNAI_IDOU","221","店内移動","fsol05","2009/03/23 20:12:58","fsol14","2009/12/02 14:01:12"
"COD_SETTI_TEHAI_KBN01","設置手配区分01","7","TANDOKU_HIKIAGE","230","単独引上","fsol05","2009/03/23 20:12:58","fsol14","2009/12/02 14:01:12"
"COD_SETTI_TEHAI_KBN01","設置手配区分01","8","HYOUZYUN_KOZI_TANSOU","400","標準工事（単相）","fsol05","2009/03/23 20:12:58","fsol14","2009/12/02 14:01:12"
"COD_SETTI_TEHAI_KBN01","設置手配区分01","9","HYOUZYUN_KOZI_SANSOU","410","標準工事（三相）","fsol05","2009/03/23 20:12:58","fsol14","2009/12/02 14:01:12"
"COD_SETTI_TEHAI_KBN01","設置手配区分01","10","HUTAI_KOZI","300","付帯工事","fsol05","2009/03/23 20:12:58","fsol14","2009/12/02 14:01:12"
"COD_SETTI_TEHAI_KBN01","設置手配区分01","11","TOKUBETU_KOZI","310","特別工事","fsol05","2009/03/23 20:12:58","fsol14","2009/12/02 14:01:12"
"COD_SETTI_TEHAI_KBN01","設置手配区分01","12","SONOTA_KOJI","340","その他工事","fsol05","2009/03/23 20:12:58","fsol14","2009/12/02 14:01:12"
"COD_SETTI_TEHAI_KBN02","設置手配区分02","1","SINPIN_SETTI","100","新品設置","fsol05","2009/04/15 17:47:06","fsol14","2009/12/02 15:13:29"
"COD_SETTI_TEHAI_KBN02","設置手配区分02","2","SINPIN_SETTI_HIKIAGE","110","新品設置・引上","fsol05","2009/04/15 17:47:06","fsol14","2009/12/02 15:13:29"
"COD_SETTI_TEHAI_KBN02","設置手配区分02","3","TYUKO_SETTI","200","中古設置","fsol05","2009/04/15 17:47:06","fsol14","2009/12/02 15:13:29"
"COD_SETTI_TEHAI_KBN02","設置手配区分02","4","TYUKO_SETTI_HIKIAGE","210","中古設置・引上","fsol05","2009/04/15 17:47:06","fsol14","2009/12/02 15:13:29"
"COD_SETTI_TEHAI_KBN02","設置手配区分02","5","ISETU","220","移設","fsol05","2009/04/15 17:47:06","fsol14","2009/12/02 15:13:29"
"COD_SETTI_TEHAI_KBN02","設置手配区分02","6","TANDOKU_HIKIAGE","230","単独引上","fsol05","2009/04/15 17:47:06","fsol14","2009/12/02 15:13:29"
"COD_SETTI_ZYOUKYOU_KBN01","設置状況区分01","1","TOZITU","1","当日受付分＋未受付","fsol05","2009/03/23 20:12:58","fsol05","2010/01/19 15:11:43"
"COD_SETTI_ZYOUKYOU_KBN01","設置状況区分01","2","MIUKETUKE","2","未受付","fsol05","2009/03/23 20:12:58","fsol05","2010/01/19 15:11:43"
"COD_SETTI_ZYOUKYOU_KBN01","設置状況区分01","3","UKETUKEZUMI","3","受付済","fsol05","2009/03/23 20:12:58","fsol05","2010/01/19 15:11:43"
"COD_SETTI_ZYOUKYOU_KBN01","設置状況区分01","4","MIKANRYOU","4","設置未完了","fsol05","2009/03/23 20:12:58","fsol05","2010/01/19 15:11:43"
"COD_SETTI_ZYOUKYOU_KBN01","設置状況区分01","5","KANRYOU","5","設置完了","fsol05","2009/03/23 20:12:58","fsol05","2010/01/19 15:11:43"
"COD_SETTI_ZYOUKYOU_KBN01","設置状況区分01","6","KAKUNINMATI","6","設置完了（完了確認待）","fsol05","2009/03/23 20:12:58","fsol05","2010/01/19 15:11:43"
"COD_SETTI_ZYOUKYOU_KBN01","設置状況区分01","7","KAKUNINZUMI","7","設置完了（完了確認済）","fsol05","2009/03/23 20:12:58","fsol05","2010/01/19 15:11:43"
"COD_SETTI_ZYOUKYOU_KBN02","設置状況区分02","1","MIUKETUKE","1","未受付","fsol05","2009/03/23 20:12:58","fsol05","2010/01/19 15:12:58"
"COD_SETTI_ZYOUKYOU_KBN02","設置状況区分02","2","MIKANRYOU","2","設置未完了","fsol05","2009/03/23 20:12:58","fsol05","2010/01/19 15:12:58"
"COD_SETTI_ZYOUKYOU_KBN02","設置状況区分02","3","KANRYOU","3","設置完了","fsol05","2009/03/23 20:12:58","fsol05","2010/01/19 15:12:58"
"COD_SETTI_ZYOUKYOU_KBN02","設置状況区分02","4","KAKUNINMATI","4","設置完了（完了確認待）","fsol05","2009/03/23 20:12:58","fsol05","2010/01/19 15:12:58"
"COD_SHN_HANSOKU_KBN01","商品販促区分01","1","SHN","0","商品代","fsol10","2011/01/06 22:40:34","fsol10","2011/01/06 22:40:34"
"COD_SHN_HANSOKU_KBN01","商品販促区分01","2","HANSOKU","1","販促代","fsol10","2011/01/06 22:40:34","fsol10","2011/01/06 22:40:34"
"COD_SHN_HANSOKU_KBN02","商品販促区分02","1","ALLVALUE","ALLVALUE","全て","fsol10","2011/01/13 16:52:25","fsol10","2011/01/13 16:52:25"
"COD_SHN_HANSOKU_KBN02","商品販促区分02","2","SHN","0","商品代","fsol10","2011/01/13 16:52:25","fsol10","2011/01/13 16:52:25"
"COD_SHN_HANSOKU_KBN02","商品販促区分02","3","HANSOKU","1","販促代","fsol10","2011/01/13 16:52:25","fsol10","2011/01/13 16:52:25"
